               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082081,            0.029901,            0.032291,             0.21362,             0.37631,             0.19598,            0.084885,            0.063168,            0.017283,            0.025709,            0.070435,            0.003285,            0.003285
                   1,            0.058716,            0.025273,            0.025886,             0.38078,             0.42175,             0.34254,             0.17776,             0.05146,            0.013984,            0.021092,            0.040391,           0.0065747,           0.0065747
                   2,            0.051486,            0.023335,            0.022614,             0.31411,             0.34833,             0.24891,             0.13011,            0.058034,            0.018275,            0.023621,            0.010303,           0.0098203,           0.0098203
                   3,             0.04877,            0.023602,             0.02126,             0.35183,             0.38262,             0.29998,             0.15666,             0.05232,            0.015129,            0.021327,            0.009802,            0.009802,            0.009802
                   4,            0.046727,             0.02305,            0.019999,             0.46103,             0.46216,             0.41596,             0.21939,            0.048616,            0.014184,             0.02329,            0.009802,            0.009802,            0.009802
                   5,            0.045762,            0.022168,            0.018247,             0.51719,              0.4929,             0.49183,             0.28279,            0.048971,            0.013184,            0.016738,            0.009736,            0.009736,            0.009736
                   6,            0.044257,            0.022519,            0.016748,             0.59332,             0.53324,             0.55673,             0.32159,            0.045933,            0.012635,            0.015509,             0.00967,             0.00967,             0.00967
                   7,            0.043755,            0.021739,             0.01641,             0.57821,             0.52741,             0.54433,             0.31787,             0.04592,            0.012487,            0.016578,            0.009604,            0.009604,            0.009604
                   8,            0.043513,            0.021547,            0.015063,             0.58478,             0.54077,             0.56574,             0.33563,            0.046023,            0.012782,            0.014589,            0.009538,            0.009538,            0.009538
                   9,            0.042369,            0.021178,            0.014583,             0.70998,             0.57769,             0.66174,              0.3921,            0.043866,            0.011861,            0.011115,            0.009472,            0.009472,            0.009472
                  10,            0.041726,            0.021321,            0.013106,              0.5961,             0.51905,             0.53492,             0.31672,            0.045282,            0.012696,            0.016476,            0.009406,            0.009406,            0.009406
                  11,             0.04143,            0.020647,            0.012844,             0.64924,             0.55024,             0.60454,             0.36394,            0.046947,            0.012456,            0.013681,             0.00934,             0.00934,             0.00934
                  12,            0.041036,            0.020434,            0.011767,             0.73287,             0.62578,               0.693,             0.41303,            0.042369,            0.011524,           0.0099774,            0.009274,            0.009274,            0.009274
                  13,            0.040454,            0.020575,            0.012118,             0.75191,             0.59307,             0.68036,             0.41756,            0.042827,            0.011674,            0.010596,            0.009208,            0.009208,            0.009208
                  14,            0.039771,            0.020072,            0.011252,             0.64961,             0.55953,             0.58833,             0.35309,            0.044025,            0.013083,            0.012303,            0.009142,            0.009142,            0.009142
                  15,            0.039648,            0.020143,            0.010966,              0.7578,             0.64903,             0.71664,             0.43863,            0.042717,             0.01135,           0.0095304,            0.009076,            0.009076,            0.009076
                  16,            0.039088,            0.019505,            0.010464,             0.76082,             0.64058,             0.72158,             0.44898,            0.042339,            0.011334,           0.0088321,             0.00901,             0.00901,             0.00901
                  17,            0.038704,            0.019679,            0.010286,             0.77042,             0.67803,             0.74821,             0.45494,            0.041159,            0.011294,            0.007931,            0.008944,            0.008944,            0.008944
                  18,            0.038117,             0.01909,           0.0094657,             0.78663,             0.71767,             0.78126,             0.49015,            0.039838,            0.010718,           0.0070859,            0.008878,            0.008878,            0.008878
                  19,            0.037699,            0.019035,           0.0091054,             0.78685,              0.6576,             0.75391,             0.46855,            0.041778,            0.011248,           0.0065316,            0.008812,            0.008812,            0.008812
                  20,            0.037408,            0.019046,           0.0090404,             0.83932,              0.7297,             0.81108,             0.50235,            0.039812,            0.010614,           0.0056933,            0.008746,            0.008746,            0.008746
                  21,            0.037193,             0.01898,           0.0086333,             0.80677,             0.72679,             0.79422,             0.49562,            0.040042,            0.010832,           0.0067846,             0.00868,             0.00868,             0.00868
                  22,            0.036463,            0.018954,           0.0087214,             0.78014,             0.66964,              0.7425,             0.46673,            0.041483,            0.011565,            0.010471,            0.008614,            0.008614,            0.008614
                  23,            0.036337,            0.018577,           0.0079697,             0.85265,             0.73782,             0.82489,             0.51776,            0.038791,            0.010368,           0.0050823,            0.008548,            0.008548,            0.008548
                  24,             0.03592,            0.018681,           0.0079223,             0.83521,             0.72724,             0.80685,             0.51186,            0.039198,            0.010659,           0.0070422,            0.008482,            0.008482,            0.008482
                  25,            0.035796,            0.018325,            0.007886,             0.85947,             0.72593,              0.8151,             0.51979,            0.038719,            0.010744,           0.0063811,            0.008416,            0.008416,            0.008416
                  26,             0.03531,              0.0178,           0.0075754,             0.81473,             0.76321,             0.82047,             0.52915,            0.037809,            0.010332,           0.0066078,             0.00835,             0.00835,             0.00835
                  27,            0.034769,            0.018096,           0.0073767,             0.86822,             0.75017,             0.83334,             0.53441,            0.037647,             0.01035,           0.0054547,            0.008284,            0.008284,            0.008284
                  28,             0.03472,             0.01802,           0.0068394,             0.87484,              0.7637,             0.84578,             0.54329,            0.037323,            0.010398,           0.0041919,            0.008218,            0.008218,            0.008218
